sci_name,lat,lon,status
Tridacna gigas,2.2802,118.2868,Critically Endangered
Tridacna gigas,4.1655,118.6211,Critically Endangered
Tridacna gigas,4.0521,118.6324,Critically Endangered
Tridacna gigas,4.2036,118.692,Critically Endangered
Tridacna gigas,4.0169,118.797,Critically Endangered
Tridacna gigas,1.2007,103.7481,Critically Endangered
Hopea auriculata,4.2,100.5667,Critically Endangered
Hopea auriculata,4.0167,102.9167,Critically Endangered
Hopea auriculata,1.85,103.8833,Critically Endangered
Shorea lumutensis,4.2,100.57,Critically Endangered
Shorea lumutensis,4.18,100.62,Critically Endangered
Shorea lumutensis,4.38,100.62,Critically Endangered
Shorea lumutensis,4.22,100.63,Critically Endangered
Shorea lumutensis,4.2375,101.2673,Critically Endangered
Vatica flavida,4.37,100.95,Critically Endangered
Vatica flavida,4.3814,100.9569,Critically Endangered
Vatica flavida,4.42,100.98,Critically Endangered
Vatica flavida,4.4094,100.9916,Critically Endangered
Alpinia corneri,4.2219,103.2911,Critically Endangered
Alpinia corneri,4.2219,103.2911,Critically Endangered
Etlingera newmanii,4.2083,114.0333,Critically Endangered
Etlingera newmanii,4.2083,114.0333,Critically Endangered
Geostachys decurvata,4.8597,100.8144,Critically Endangered
Geostachys decurvata,4.8597,100.8057,Critically Endangered
Geostachys leucantha,3.4333,101.7833,Critically Endangered
Geostachys leucantha,3.4333,101.7833,Critically Endangered
Geostachys megaphylla,4.5175,101.3822,Critically Endangered
Geostachys megaphylla,4.5175,101.3822,Critically Endangered
Geostachys primulina,3.7139,101.7379,Critically Endangered
Geostachys taipingensis,4.5169,100.9869,Critically Endangered
Hornstedtia pusilla,4.0719,102.3228,Critically Endangered
Scaphochlamys atroviridis,4.2219,103.2911,Critically Endangered
Scaphochlamys cordata,4.5461,102.9723,Critically Endangered
Scaphochlamys cordata,4.546,102.9723,Critically Endangered
Borneocola reticosus,1.3969,110.1353,Critically Endangered
Borneocola reticosus,1.4167,110.15,Critically Endangered
Borneocola reticosus,1.3833,110.1333,Critically Endangered
Borneocola reticosus,1.3833,110.1333,Critically Endangered
Borneocola reticosus,1.3949,110.1367,Critically Endangered
Zingiber argenteum,1.2031,110.4189,Critically Endangered
Zingiber eborinum,5.1061,116.0331,Critically Endangered
Zingiber lambii,4.9333,117.6833,Critically Endangered
Zingiber velutinum,5.29,116.035,Critically Endangered
Globba magnibracteata,4.3959,103.0505,Critically Endangered
Dryobalanops fusca,1.7167,109.3,Critically Endangered
Dryobalanops fusca,1.7167,109.3,Critically Endangered
